Period-6 dynatomic polynomial in u = x^3
Degree: 232
Leading coefficient: 1003405644495656286329734141694663036598497182761122991635195117231778758288712103530633116985679987867648
Constant term: 83076749736557242056487941267521536

All coefficients (lowest to highest degree):
  u^80: 2663961517573225413048064152229502353834455932895046469743988008267333918982233471872048294454870692903100587860780422512003672113801772
  u^81: 14732960945136678049001055235594939376605027004532629580562638755703653360569407536450619356681444706788519921307581740508362146904747366
  u^82: 79788543752274890841352412151454226500845912734306182307593055059788001596533233844723429363955248376710513706672946557880014922048852040
  u^83: 423152753310416464265448477569490051025864999514549860742158728467787812426545673484769989059825320472087510271559825288023064008074206596
  u^84: 2197736926059146399699871589601854747305832596904226348547586934873886748180747882869811296815559985174986829875906205268089833746748841282
  u^85: 11178666344207673323749048407749314194749654666363349517963351370150789483549797451512458056841323492150116863306307210901237573301678155978
  u^86: 55686766472161577482027864443889947901988387496970515436727440162037509428846433458322926508438677827513197122669363408972062693117406244767
  u^87: 271688858505373328362055049532027073710732314053711809833502222180048178150770268428995981634917554659337887011423899750691092806863685580830
  u^88: 1298248248759074242999391872324161952614534231471449218678331858985637732042865325740591035006277503921784716714327211112697218261056853661250
  u^89: 6075978137010103448931147534158060925183074346090801475064140918283791592338093836062467760342456928702496615842765963014659949318433340309905
  u^90: 27851709691120744918200737656584639838659141530676268533243811414291150318492997903588496850725252497560426639156286239260099104806876209892760
  u^91: 125045365867905854654450959607638619483202978499500200601514043544562135888422658386081393252225586286423829639127843359174119186939214306583066
  u^92: 549875733026238082365436925579139994748516671469686352259727254386198776543999525350235882036734954065247303129386426725988036076005898073718919
  u^93: 2368329357082926346151025801060530643715015156501764772937402289145108327826937173364878694705977167871706195027625822987703369358645442990241150
  u^94: 9990745244495704027622135691142400547917452685472535668462057837441357940956029264459752838996249677387869662988020349540107195952800090909489746
  u^95: 41278874064379026171945661317735163459198969512803908836551048166837977316067352649340387299610281531708874216215757460247951035190662658844942713
  u^96: 167042195461900261514006627018873551020426487512471081985776049502600257401345330183509547590289789303349011727277788639482425515189164009420128156
  u^97: 662041840916541015412745772148029936499742348810021175963397341655243511094497023068632594852694211775969847341644584141277534704935000224188955762
  u^98: 2569782706626026141944690565655814246256265892826419577317556822378619600449497107682109844337861877772588927900253647662518645489804220445165633303
  u^99: 9768957122191804731834391149767478020968969820752599859663815905689880826033516217073800148119655959338795509645620699973077856203143470920701269118
  u^100: 36368741263598065465873419885245355238372660480411368341157457948509763136365365968856754394807800433800578034512314591675724534109836412009547869398
  u^101: 132593532672903890884229324602313471748842252960868162784331358190934958319468762997287519028506906117640797667133162807268227428398349663041534521345
  u^102: 473384971935654847843548807486986697879803347026452891797364613595355523346651827683703808571465227533139770540319435147534693448929927677610615712280
  u^103: 1654958102260273730591096398538746882228584301136198697305958884242704385762030190157048748408397002204017423148588270834336537342584123203661331601154
  u^104: 5665270044898293685080725638925343610934597701020939813365485623784374566019115365465379302660820867226591142863885879919190218586189989899493920077983
  u^105: 18988657959482870211787243312537873805810127135132372295339763718975981496753627356860981606516055204075616633297312696346278095805186716541901361661182
  u^106: 62313943336400757799972321547187725222290261631151930244453305606835239024861504492237459170663752443884436052616200149054379400894041214361160099026084
  u^107: 200202300278429453354758262747721419132012565978033630522568816307108020652631322700015667265630251077136700791021183375747726180594359889656339511100512
  u^108: 629679562852185342002022578363082673618606643725158903604829515556250436762997132723962164957329183337122141763162602609721653663941843996394369926728364
  u^109: 1938692626913448063073276241333381231239421692813968631882858335753541205813197717383021723265725525677461860496181029980715474446313464920226275403907520
  u^110: 5842618549094590310897115097128617954811541037465655834804536839720215070108747661438398991492493248483480720308069742919291209359021597394762645452003272
  u^111: 17233915858017911828812217816014300771052419447415396721302224820838700133440450175486122424724221627363858875141319217498294203564135008850468335323791008
  u^112: 49751383153195396610567408481770386313119859282983166661413055106872485020420141446773802012079778798902307598421324988239672935407378987900130093257559704
  u^113: 140551744042261970704668948905494646485356343163732205129161928386230288526111841923442713084970898876378413293675649591031004144140007294714481634871896056
  u^114: 388544321452128777465244186307574908836905511988662575895876560697434195350811410978678050783271191832541983162462039464089525403039735513165281285741622504
  u^115: 1050944334046613496367925227030831604317057326545231694063123231353601568256883008244285606927231753733458902917386945568453485326210851257199984911194829260
  u^116: 2781079814019200674706906701906863294878789641209990375952170548129851915850585559406294267490881422741116220461582095714155915275778929858742728446975110840
  u^117: 7199457060927358185526675872507891245517665609614297041382385098932590862717200459052483003177675166900720399064750284360985826049387201267499962475073286688
  u^118: 18230338244010786302809601508188660906038576207219479865759020618501814274273427284028953469273977818919361935025173065978191630655174744997232368385246641920
  u^119: 45149473435722345761953970988374568562978870545691545222770194310448291190829744828278850317046416234610486557414631740302266505638724228578429077763385978096
  u^120: 109351835064842109102197160207722947683463854687560480253063641493559776381861584682636799336944135869433203727421622959516647042679272636582760393051245464432
  u^121: 258979540663505544967078546736551976189096961484982849491651046028192527121077218932494239380722885672464046730265409208267244722760687372712501410184913696832
  u^122: 599679940330784173705091970114679496181328263724073017776007452580182758123631987142214801473137445453638419571217354123697011306756080060776829113199192519264
  u^123: 1357485078372071231693108186055715024844490855660661042629096742264381701739861006615758375911630733346561883890454252621650880807530371895905252770486508871472
  u^124: 3003702849072947404083418664599387826500140737183667946707804431498016478047285638883894555331326968774374903751326317814469229393696918387810805586213465833696
  u^125: 6495733285454597741872736670512674572565116816377056537860375443761741836624738804723373318712408596417007474873909588211815119759837703065253222600258990586240
  u^126: 13727445765081704734671097843532688386869438170983876998189409630872183733416692019103377338248320278514784131434945903526198773440493349576934953213774395661056
  u^127: 28345275907647205181256180015419113569833139723984872003686859510475406098444125612217018194261993960747286460830030953761552812278097390505220112334806706376064
  u^128: 57179208823234110001879961493374145687354709729266005158383359970796055524811101830882565690867860016915883407557171934149912507108954354729761646445296601756608
  u^129: 112667126842869883532856758454036114566359176389492383099600090093378334123695170344469134348870620294924154594288348750014323747702275490489998367991022084208768
  u^130: 216815863954111154773075038754022778119719894429579212784299516227104294952654582759223906231733527454606766538067438477220924823577808211497585102223845320830720
  u^131: 407427916767827718424696271266628352059672156410969575918749977082177665262664835468354943135479819456861757858513217708671539985514123079685146581613748583610368
  u^132: 747490238037679235767878378069018168782186137493627275299739810395744119512541004086220470754989545636433615059361423314920444638007474440087629464397690489439232
  u^133: 1338697284714536403826085632588378535666387385485692856868572606962420794104176822553625049668787011902340214669631535373450527365380939973254763513592600271005696
  u^134: 2339949184450674944883522032419805986795954925709836830294363375491091291843634592708264539588458866354278642526751744220734369842139165716140459751439925591801856
  u^135: 3991174252242146760311945380384877165639214849602200805408677712827954910240551119784410523500578267991452508858181618188419878376197389826305677759180203281129472
  u^136: 6641805588609966113997331730809578651487661302356473527271186060550115871802206437019312575368587553434095935817172184228541560325372915146664989783841376632684544
  u^137: 10781564163988390157866893231775537793375511259517094289855549964860685109516369524026278417749083239185514857154771844635119994843427653963805476988506042357350400
  u^138: 17068855623957620512937904019838817840594771057580446695127990073437241789325002485564868083714122713677303484469313781639688564669780591174887858874308156773007360
  u^139: 26349287386913493026444325929668909001470563576349580806587307547315648037431012120983537248217421440052230449796179685067036441478041454153247878681672125794009088
  u^140: 39654084626295221334322769299280324231396963030811354697156185512090834575086196359192605155513744296938142110142823247142036558013229682945594263291914435391029248
  u^141: 58166408502208043656276889783768948850872548780163649173659965789652698879562385836499352598574602681996099565708739432329462283699690111188854321199574866482364416
  u^142: 83143909435123024903953889742655020660576051134089570481548827242410141193010738305791148780008220208032493569059111572965169256143024593535195240713581036115853312
  u^143: 115789462558714064110670539106802518230540600703321588755592369473293850031838300867246395872285003625403481707462610313225059172626749491058018120203489011254951936
  u^144: 157069729382590556377503091600341769311774597582884842533222419348744851891134113783317716607873093295645520880160917576149824414205153733201007359316996072614658048
  u^145: 207492875982158760975437687158891314768324776581303093206133371109883762415729764367463726636752666135833642769153381061003518058749392145119129468913930464643776512
  u^146: 266871022137330527463495232568064406769630578696775597031213762494821517714672894308406876445689533870404400766642398660525037476441716702669840203675285525769486336
  u^147: 334106861440567460071497430150754943232158154000747656588173639198957580963687629376584695256681914006250674735091169195341749556629236543629742549397010786117746688
  u^148: 407053266343370078952349887657251315613591372228679471204228320389208651086435778192533740839128097638482444885459016811337676360793971814574827589746889152369000448
  u^149: 482495206285498150625599064417799546744654603286924990658173960131191042786819029367452184882601514250605590173325531311491515557235388465867073918250620198024380416
  u^150: 556291738578388683005148025239533439837146696832794303200790474681743283617486346117936620581027402647257532544518120858775916205497748070894896458573477030790168576
  u^151: 623691608605207861205814659025238326016392431760181411943081935157968024575834193775209961267876382288580422736231998641590135430657707458911860090925102006498492416
  u^152: 679802244540503342713138247033381046498542722545974384789999063359099298834554344718740559036790135234969147020542090743862441555005736937656406654036637033321988096
  u^153: 720155499145898733742731492125346555527404970846679150889285334623216281054231985116080322879604174305090946342838244084503941513193442508578885754565162463853019136
  u^154: 741283627720700379951625320302538276919593874638455729427227370169137543719785978742614353150160069627326834476060183139027930220751639991160724187232459838283841536
  u^155: 741204852904685497307022604297819000581507468141527273550811236354100588081112866238801287658603032912693856100589246069525782372965470231795457098698455136205799424
  u^156: 719725525425200960285305404239645433295876568928634704462029893014588584154853996124451824109828986327715598120270066663528196269490536050744851648272114486414934016
  u^157: 678495894133655353732091237770689363228423583097429320547296793557921357558476728710824740909676814053041983991517875081732912206832378105295952175153029407741837312
  u^158: 620803001925807485016239726708824749270851972677489416162924462888849856868816045351077895222389611257862574017918314987116843087846050948814331055910673240033329152
  u^159: 551136214525743523522533674507905646617878092019252218363822572104947019928799554474281378528658689883436055553345368458556718545491768714631079943533835374276116480
  u^160: 474605289501067081685050386732810734272637077927428774346777044937835687488114384552923698076233794112480916324706752222084525667236374118721909172438192926677270528
  u^161: 396316530944331646242177781673793145153490855685447022025043767690928056722018023972049543333168338216624300530404525921770826782368136670955752432491408403030081536
  u^162: 320813619526425475615321268657307636838261419179329282299261894115246178836740029148274601087338872645613850265402860437906179286790880420263535124885774339686793216
  u^163: 251667323352299482738064071755984523957808934400989608578395792392836427158663835360269118733102665522678297891942491319757743046314916316784611287115300117447442432
  u^164: 191259951281078589206733345963552534538059570220776191486797165693110212074142155828902004814161683672932881220199643466501857522655019888494960932869129880819728384
  u^165: 140767177447751980120667838375316261726805564440905861239561971311282805762921529992371605590051868404870657920603396760127650976165915679235792270065287874413068288
  u^166: 100302784082503395317316165254301414757634841049452875159973788824141190347656814381192774655096166403123682933242049799296097682109017801687482862432936345519259648
  u^167: 69168735032728974471310750644048403194008787632981782206627449245969097632261423189815049328299662345089182501927345216370252318885947432519217862078442264797904896
  u^168: 46146608695342237439229396639178165088444411932373696867912763792725528724167153960915000827386519920575589782810353869749779764440227993496206695760933775910895616
  u^169: 29774697526309357937806193208295445765177427202874126761287887604074444924796694251263607142263153383101274234022991503644978471641611883302985005305655639356211200
  u^170: 18572634044095283921665597672432453088590720323596600641725605656013981968798748620185660959088056218483395888428850525088613773323977150571370905264297062562791424
  u^171: 11195808134773400929687421807339302588667764229454523105084551557137274497387834577980910511254124550313671815592845496653679738479375393583566267642124697600000000
  u^172: 6519682780554209816809767133483884800852823491845633450502171310013478793667941387397947603194308870512699936856542949088660078302429364486402211436311789011206144
  u^173: 3666195556590316154532403556053965554488528659213988446271417793200082416212071279249580251955191242209068733936174548907966186899026331837629830589329588558495744
  u^174: 1989974636236063946533643834619559503286487272995527441928892884921955399400260107277599536236539017704346760256969238005609107846167599506038061251087306766417920
  u^175: 1042178410007001793524983656223413277556513110058197707286241296069259395119565231784429259290462614471597035092728964591619031240517350427433061242154240092143616
  u^176: 526397755480154084042678886282932846569598963685577465977377708171125159095034278725718148075057109970541725683154996220418851381443332678897196140612551025098752
  u^177: 256314297873147435326415645942004477746175488153545705644168123761194958617348760074022748367426093191598380785593264228061509411620740580272962230396648851243008
  u^178: 120260265522973792681484438443354884979999964068391605583350611995659314958449415693191874686983696124228449373914005615559967832839967787057159876867800642355200
  u^179: 54344993928284681921073319116433126407903202036809090685141495212052698424272224668356534916424948217334631155549135475690377405151500441380681782327279496462336
  u^180: 23641551786297023555361670073794046654603402162825281555467274722142519818653740538680594635203061531293494726315002598957111409906863444232567284998776933056512
  u^181: 9895903495753407183294852541554670329000347262802044385350618107846820941123771587786323693030809804939957549738307877935507502375392807006829212792119711760384
  u^182: 3983588485899104473427645728324674929272259197445047923802400306321435260109469001582906519819812308814964850466456089874165421859121292299045677912365971013632
  u^183: 1541350971213863638395467831483462103709129589519531921970841663574268680799186187724574110708660485992527767121163909290356171493120661912274339887240739553280
  u^184: 572923484029521414105221936750738481979922104317787094195075669114494091557686999829226303635210641597307341166085576448909318961657105714696935611094320283648
  u^185: 204461021827263235592430676071032250975084309492653153406495889184860479842488067171367288634162049683925413231731243822051213931074355635477975755992640520192
  u^186: 70013898982449933966733385740911151000206409799653130911294263147693658673304276692253101691146969634757586716764656107215741022215823691405057967993919635456
  u^187: 22990497392211344836617645783125166093070346456306378326152192439541000554841673370995902365756458351912917418572725206767095597024987972110625606405491523584
  u^188: 7234726932320219107694672279193725157069587417304734576391962751842655530196391967112835460499349635659928195980049117304580760871809852727207945710342242304
  u^189: 2180283003246372419432820549347297734453622738977344948103698916601060363546756114748370593572668758942235362202139677425770365314480243200336889740919832576
  u^190: 628803456838837138584576631633309479487840201127501741978370854091967624192079834753720862293047452663174061646204850844275361797521450081005652905010659328
  u^191: 173423854552782837026597123518791565564378491348164302945401639544789531410588631833686768189034801147765438306591120895694849748736791016975791640207687680
  u^192: 45704639296128550728043110790958905481795803444106593392584734173542912542454437652412628615896724754115255537451497987968196840896293342224932182480125952
  u^193: 11500559574274979327750225207546872778467084105022175056588057651791546674609624802290796249736879507572078882722701248110507672127408437282698715239284736
  u^194: 2760688457114763194098410330690918193078691735517031060732633803925170127200094673916739867281892634857940811382067581743316342227111137796916128736346112
